facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
"Rego Park Library, QPL",Library,QPL,Operational,Yes,40.727325,-73.864504,"{'type': 'Point', 'coordinates': [-73.864504, 40.727325]}",3,70,28,40,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/rego-park'},"Yes, a key is needed to enter"
Berriman Playground,Park,NYC Parks,Operational,Yes,40.657000,-73.869500,"{'type': 'Point', 'coordinates': [-73.8695, 40.657]}",2,47,25,45,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Harry Maze Playground,Park,NYC Parks,Operational,Yes,40.643330,-73.923200,"{'type': 'Point', 'coordinates': [-73.9232, 40.64333]}",2,40,26,61,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Glen Oaks Library, QPL",Library,QPL,Operational,Yes,40.745181,-73.714847,"{'type': 'Point', 'coordinates': [-73.714847, 40.745181]}",3,63,16,63,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/glen-oaks'},"Yes, a key is needed to enter"
Vesuvio Playground,Park,NYC Parks,Operational,Yes,40.725630,-74.002500,"{'type': 'Point', 'coordinates': [-74.0025, 40.72563]}",4,1,10,57,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Pelham South Park Headquarters,Park,NYC Parks,Operational,Yes,40.851720,-73.824700,"{'type': 'Point', 'coordinates': [-73.8247, 40.85172]}",5,28,12,44,,,Year Round,"8am-4pm, Open later seasonally",,
Franz Sigel Park Zone 1,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.821370,-73.926000,"{'type': 'Point', 'coordinates': [-73.926, 40.82137]}",5,27,35,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Horace Harding Playground,Park,NYC Parks,Operational,No,40.733180,-73.860300,"{'type': 'Point', 'coordinates': [-73.8603, 40.73318]}",3,70,28,40,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Lookout Hill,Park,NYC Parks,Operational,Yes,40.656910,-73.970400,"{'type': 'Point', 'coordinates': [-73.9704, 40.65691]}",2,50,27,13,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Riverside Library, NYPL",Library,NYPL,Operational,,40.774240,-73.984514,"{'type': 'Point', 'coordinates': [-73.984514, 40.77424]}",4,12,19,20,Fully Accessible,,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/riverside'},
Telephone Playground,Park,NYC Parks,Operational,Yes,40.738600,-73.756600,"{'type': 'Point', 'coordinates': [-73.7566, 40.7386]}",3,69,16,26,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Abraham Lincoln Playground,Park,NYC Parks,Operational,Yes,40.812280,-73.937100,"{'type': 'Point', 'coordinates': [-73.9371, 40.81228]}",4,16,36,7,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Friends Field,Park,NYC Parks,Operational,Yes,40.618670,-73.972000,"{'type': 'Point', 'coordinates': [-73.972, 40.61867]}",2,39,18,2,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Flynn Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.820930,-73.911900,"{'type': 'Point', 'coordinates': [-73.9119, 40.82093]}",5,23,43,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Washington Market Park,Park,NYC Parks,Operational,Yes,40.717490,-74.011500,"{'type': 'Point', 'coordinates': [-74.0115, 40.71749]}",4,1,32,56,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Bedford Playground,Park,NYC Parks,Operational,No,40.708100,-73.964100,"{'type': 'Point', 'coordinates': [-73.9641, 40.7081]}",2,56,38,36,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Happy Warrior Playground,Park,NYC Parks,Operational,Yes,40.795750,-73.968500,"{'type': 'Point', 'coordinates': [-73.9685, 40.79575]}",4,15,23,20,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Challenge Playground,Park,NYC Parks,Operational,Yes,40.756910,-73.728100,"{'type': 'Point', 'coordinates': [-73.7281, 40.75691]}",3,69,16,26,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Christopher J. Igneri Playground,Park,NYC Parks,Operational,Yes,40.608730,-74.119500,"{'type': 'Point', 'coordinates': [-74.1195, 40.60873]}",1,76,13,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Imagination Playground,Park,NYC Parks,Operational,Yes,40.706230,-74.004000,"{'type': 'Point', 'coordinates': [-74.004, 40.70623]}",4,1,32,56,Fully Accessible,Single -Stall All Gender Restroom(s),Year Round,"8am-4pm, Open later seasonally",,
Captain Mario Fajardo Park,Park,NYC Parks,Operational,Yes,40.745030,-73.817300,"{'type': 'Point', 'coordinates': [-73.8173, 40.74503]}",3,67,3,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Dag Hammarskjold Food Kiosk,Park,NYC Parks Concessionaire,Operational,No,40.752076,-73.968158,"{'type': 'Point', 'coordinates': [-73.968158, 40.752076]}",4,9,51,71,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,7:00am-9:00pm,,
Fort Independence Playground,Park,NYC Parks,Operational,Yes,40.881620,-73.895900,"{'type': 'Point', 'coordinates': [-73.8959, 40.88162]}",5,33,40,48,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Fort Greene Playground,Park,NYC Parks,Operational,Yes,40.692340,-73.977200,"{'type': 'Point', 'coordinates': [-73.9772, 40.69234]}",2,55,48,68,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Saratoga Park,Park,NYC Parks,Operational,Yes,40.685060,-73.919000,"{'type': 'Point', 'coordinates': [-73.919, 40.68506]}",2,52,17,69,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Schomburg Center for Research in Black Culture, NYPL",Library,NYPL,Operational,No,40.814657,-73.940945,"{'type': 'Point', 'coordinates': [-73.940945, 40.814657]}",4,20,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 am - 6:00 pm 
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 6:00 pm",{'url': 'https://www.nypl.org/locations/schomburg'},
Greeley Square Park,Park,34th Street Partnership,Operational,,40.748533,-73.988460,"{'type': 'Point', 'coordinates': [-73.98846, 40.748533]}",4,8,10,11,Fully Accessible,Multi-Stall All Gender Restrooms,Year Round,8am-9pm,,
Poe Park,Park,NYC Parks,Operational,Yes,40.865040,-73.894700,"{'type': 'Point', 'coordinates': [-73.8947, 40.86504]}",5,34,22,24,,,Year Round,"8am-4pm, Open later seasonally",,
Castle Hill Playground,Park,NYC Parks,Operational,Yes,40.839030,-73.853000,"{'type': 'Point', 'coordinates': [-73.853, 40.83903]}",5,26,31,58,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Cortelyou Library, BPL",Library,BPL,Operational,,40.640812,-73.965966,"{'type': 'Point', 'coordinates': [-73.965966, 40.640812]}",2,43,11,60,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/cortelyou'},
Rufus King Park,Park,NYC Parks,Operational,No,40.703340,-73.803400,"{'type': 'Point', 'coordinates': [-73.8034, 40.70334]}",3,61,24,41,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
P.O. Reinaldo Salgado Playground,Park,NYC Parks,Operational,Yes,40.687910,-73.925500,"{'type': 'Point', 'coordinates': [-73.9255, 40.68791]}",2,52,17,69,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Brooklyn Bridge Park Pier 6 - Quay Tower,Park,Brooklyn Bridge Park,Operational,,40.692827,-74.000721,"{'type': 'Point', 'coordinates': [-74.000721, 40.692827]}",2,54,38,68,Fully Accessible,,Year Round,6am-1am,,
"West New Brighton Library, NYPL",Library,NYPL,Operational,Yes,40.634517,-74.114823,"{'type': 'Point', 'coordinates': [-74.114823, 40.634517]}",1,74,13,4,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/west-new-brighton'},
Detective William T. Gunn Playground,Park,NYC Parks,Operational,Yes,40.732290,-73.731700,"{'type': 'Point', 'coordinates': [-73.7317, 40.73229]}",3,63,16,63,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Vito Locascio Field,Park,NYC Parks,Operational,Yes,40.670110,-73.844600,"{'type': 'Point', 'coordinates': [-73.8446, 40.67011]}",3,64,41,62,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
153 East 53rd Street POPS,Privately Owned Public Space,Boston Properties,Operational,Yes,40.758406,-73.970038,"{'type': 'Point', 'coordinates': [-73.970038, 40.758406]}",4,9,51,71,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Everyday 7:00am-11:00pm,,
Star Spangled Playground,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.691690,-73.957800,"{'type': 'Point', 'coordinates': [-73.9578, 40.69169]}",2,51,38,69,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
James Forten Playground,Park,NYC Parks,Operational,Yes,40.676640,-73.965500,"{'type': 'Point', 'coordinates': [-73.9655, 40.67664]}",2,49,48,16,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Arlington Edinboro Playground,Park,NYC Parks,Operational,Yes,40.820860,-73.946700,"{'type': 'Point', 'coordinates': [-73.9467, 40.82086]}",4,17,36,37,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Ferry Point Park Zone 2,Park,NYC Parks,Operational,Yes,40.812010,-73.838600,"{'type': 'Point', 'coordinates': [-73.8386, 40.81201]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
South Beach Zone 3,Park,NYC Parks,Operational,,40.579800,-74.075900,"{'type': 'Point', 'coordinates': [-74.0759, 40.5798]}",1,76,14,31,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Spuyten Duyvil Library, NYPL",Library,NYPL,Operational,Yes,40.886294,-73.914652,"{'type': 'Point', 'coordinates': [-73.914652, 40.886294]}",5,33,40,48,Partially Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/spuyten-duyvil'},
"High Bridge Library, NYPL",Library,NYPL,Operational,Yes,40.837968,-73.923552,"{'type': 'Point', 'coordinates': [-73.923552, 40.837968]}",5,27,42,50,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/high-bridge'},
Alley Pond Park Zone 2,Park,NYC Parks,Operational,Yes,40.741960,-73.740000,"{'type': 'Point', 'coordinates': [-73.74, 40.74196]}",3,69,16,26,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Tiffany Playground,Park,NYC Parks,Operational,Yes,40.824760,-73.894300,"{'type': 'Point', 'coordinates': [-73.8943, 40.82476]}",5,24,43,8,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Cunningham Park Zone 1,Park,NYC Parks,Operational,Yes,40.726500,-73.773700,"{'type': 'Point', 'coordinates': [-73.7737, 40.7265]}",3,65,16,25,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Montbellier Park,Park,NYC Parks,Operational,Yes,40.674020,-73.756400,"{'type': 'Point', 'coordinates': [-73.7564, 40.67402]}",3,71,6,41,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Dr. Charles R. Drew Park,Park,NYC Parks,Operational,No,40.680220,-73.802400,"{'type': 'Point', 'coordinates': [-73.8024, 40.68022]}",3,71,46,41,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Steinway Library, QPL",Library,QPL,Operational,Yes,40.776835,-73.909458,"{'type': 'Point', 'coordinates': [-73.909458, 40.776835]}",3,72,4,39,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/steinway'},"Yes, a key is needed to enter"
"New Lots Library, BPL",Library,BPL,Operational,Yes,40.665168,-73.886072,"{'type': 'Point', 'coordinates': [-73.886072, 40.665168]}",2,47,25,45,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	1 pm - 5 pm",{'url': 'https://www.bklynlibrary.org/locations/new-lots'},
Highland Park Zone 1,Park,NYC Parks,Operational,Yes,40.687500,-73.890100,"{'type': 'Point', 'coordinates': [-73.8901, 40.6875]}",3,62,34,54,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
Meadow Lake North,Park,NYC Parks,Operational,Yes,40.740670,-73.841200,"{'type': 'Point', 'coordinates': [-73.8412, 40.74067]}",3,68,24,67,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
875 Third Avenue POPS,Privately Owned Public Space,Boston Properties Inc.,Operational,"""Yes, in women's restroom only""",40.757226,-73.969197,"{'type': 'Point', 'coordinates': [-73.969197, 40.757226]}",4,9,51,71,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,Monday to Saturday: 7:00 am-11:00 pm; Sunday & holidays: 11:00 am-7:00 pm,,
Abe Stark Skating Rink,Park,NYC Parks Concessionaire,Operational,No,40.573053,-73.985895,"{'type': 'Point', 'coordinates': [-73.985895, 40.573053]}",2,35,45,21,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,12:30pm-4:00pm,,
The Ramble,Park,NYC Parks,Operational,,40.778410,-73.967700,"{'type': 'Point', 'coordinates': [-73.9677, 40.77841]}",4,13,19,19,,,Year Round,"8am-4pm, Open later seasonally",,
Maurice A FitzGerald Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.690260,-73.839500,"{'type': 'Point', 'coordinates': [-73.8395, 40.69026]}",3,60,46,46,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Victory Field,Park,NYC Parks,Operational,Yes,40.701310,-73.854500,"{'type': 'Point', 'coordinates': [-73.8545, 40.70131]}",3,60,34,38,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"South Beach Library, NYPL",Library,NYPL,Operational,Yes,40.595811,-74.062982,"{'type': 'Point', 'coordinates': [-74.062982, 40.595811]}",1,76,14,30,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm   
Wednesday: 11:00 am - 7:00 pm  
Thursday: 11:00 am - 7:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/south-beach'},
The Great Hill,Park,NYC Parks,Operational,No,40.797330,-73.959100,"{'type': 'Point', 'coordinates': [-73.9591, 40.79733]}",4,13,19,19,,,Seasonal,"8am-4pm, Open later seasonally",,
"Bedford Library, BPL",Library,BPL,Operational,Yes,40.681820,-73.956166,"{'type': 'Point', 'coordinates': [-73.956166, 40.68182]}",2,51,48,69,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/bedford'},
Bildersee Playground,Park,NYC Parks,Operational,Yes,40.635950,-73.912200,"{'type': 'Point', 'coordinates': [-73.9122, 40.63595]}",2,42,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Dimattina Playground,Park,NYC Parks,Operational,Yes,40.680470,-74.001900,"{'type': 'Point', 'coordinates': [-74.0019, 40.68047]}",2,48,27,14,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Maple Playground,Park,NYC Parks,Operational,No,40.755960,-73.826100,"{'type': 'Point', 'coordinates': [-73.8261, 40.75596]}",3,67,3,22,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
La Tourette Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.577587,-74.149616,"{'type': 'Point', 'coordinates': [-74.149616, 40.577587]}",1,76,14,30,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,6:00am-8:00pm Daily,,
Ampere Playground,Park,NYC Parks,Operational,Yes,40.681440,-73.856800,"{'type': 'Point', 'coordinates': [-73.8568, 40.68144]}",3,60,41,46,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Jerome Park Library, NYPL",Library,NYPL,Operational,Yes,40.869078,-73.901194,"{'type': 'Point', 'coordinates': [-73.901194, 40.869078]}",5,33,29,48,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/jerome-park'},
Columbus Park,Park,NYC Parks,Operational,No,40.715910,-73.999800,"{'type': 'Point', 'coordinates': [-73.9998, 40.71591]}",4,2,32,70,,,Year Round,"8am-4pm, Open later seasonally",,
St Nicholas,Park,NYC Parks,Operational,Yes,40.813710,-73.950900,"{'type': 'Point', 'coordinates': [-73.9509, 40.81371]}",4,17,36,37,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Elmhurst Library, QPL",Library,QPL,Operational,"""Yes, in single-stall all gender restroom only""",40.738563,-73.876823,"{'type': 'Point', 'coordinates': [-73.876823, 40.738563]}",3,68,5,66,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/elmhurst'},"Yes, a key is needed to enter"
Fulton St (A-C) MTA Restroom,Transit,NYCT,Operational,,40.710532,-74.009096,"{'type': 'Point', 'coordinates': [-74.009096, 40.710532]}",4,1,32,56,,,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",{'url': 'https://new.mta.info/agency/new-york-city-transit/bathrooms'},MTA station with bathrooms located outside of fare gates and open to the wider public
Lincoln Rd Playground,Park,NYC Parks,Operational,Yes,40.660480,-73.963600,"{'type': 'Point', 'coordinates': [-73.9636, 40.66048]}",2,50,27,13,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Playground For All Children,Park,NYC Parks,Operational,No,40.740890,-73.849500,"{'type': 'Point', 'coordinates': [-73.8495, 40.74089]}",3,68,21,67,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Thomas Jefferson Park,Park,NYC Parks,Operational,,40.793795,-73.934707,"{'type': 'Point', 'coordinates': [-73.934707, 40.793795]}",4,14,35,7,,,Year Round,"8am-4pm, Open later seasonally",,
